CMTS;Chann;address1;address2;mac;latitude;longitude;
217.9.225.230;3961 Up;Cable5/0/0-upstream0;Liulin bl.919;;42.718386 N;23.264845 E;
217.9.225.230;3962 Up;Cable5/0/0-upstream1;Liulin bl.26;00.23.ed.d7.98.74;" 42°43'41.049""N";" 23°15'07.512""E";
217.9.225.230;3963 Up;Cable5/0/0-upstream2;Liulin bl.107;;" 42°42'49.167""N";" 23°16'19.465""E";
217.9.225.230;3964 Up;Cable5/0/0-upstream3;Zaharna Fabrika bl.8;;42.71513 N;23.287767 E;
217.9.225.230;3965 Up;Cable5/0/0-upstream4;Liulin bl.311;00.23.ed.d8.d2.ea;"42°43'23""N";"23°14'42""E";
217.9.225.230;3966 Up;Cable5/0/0-upstream5;Liulin bl.432;00.23.EE.03.A6.0E;"42°42'52""N";"23°14'46""E";
217.9.225.230;3967 Up;Cable5/0/0-upstream6;Liulin bl.710;00.23.ee.d4.b7.bc;"42°42'48""N";"23°15'42""E";
217.9.225.230;3968 Up;Cable5/0/0-upstream7;Liulin bl.710;00.23.ee.d4.b7.bc;"42°42'48""N";"23°15'42""E";
217.9.225.230;4009 Up;Cable5/0/2-upstream0;Liulin bl.508;; 42°42.897'N; 23°14.454'E;
217.9.225.230;4010 Up;Cable5/0/2-upstream1;Liulin bl.519;00.23.ee.02.db.76; 42°42.791'N; 23°14.767'E;
217.9.225.230;4012 Up;Cable5/0/2-upstream3;Liulin bl.705;00.23.ee.03.a8.06;" 42°42'43.838""N";" 23°15'54.698""E";
217.9.225.230;4013 Up;Cable5/0/2-upstream4;Liulin bl.227;00.23.ee.04.56.ea;" 42°43'28.533""N";" 23°14'52.907""E";
217.9.225.230;4014 Up;Cable5/0/2-upstream5;Liulin bl.207;;42.726605 N;23.249782 E;
217.9.225.230;4015 Up;Cable5/0/2-upstream6;Liulin bl.306;00.23.ee.04.16.8e;" 42°43'13.913""N";" 23°15'01.531""E";
217.9.225.230;4016 Up;Cable5/0/2-upstream7;Liulin bl.321;00.23.ee.04.5d.b6; 42°43.390'N; 23°14.764'E;
217.9.225.230;4057 Up;Cable5/0/4-upstream0;Zaharna Fabrika 38 I;00.23.ee.04.b6.2a;42.716482 N;23.288407 E;
217.9.225.230;4058 Up;Cable5/0/4-upstream1;Zaharna Fabrika 38 II;00.23.ee.04.b6.2a;42.716482 N;23.288407 E;
217.9.225.230;4059 Up;Cable5/0/4-upstream2;Liulin bl.908 I;;42.71625 N;23.264797 E;
217.9.225.230;4060 Up;Cable5/0/4-upstream3;Liulin bl.908 II;;42.71625 N;23.264797 E;
217.9.225.230;4321 Up;Cable5/1/0-upstream0;Liulin bl.152;00.23.ee.02.f8.08;" 42°42'44.635""N";" 23°16'11.274""E";
217.9.225.230;4322 Up;Cable5/1/0-upstream1;Liulin bl.117A;;42.716559 N;23.27088 E;
217.9.225.230;4324 Up;Cable5/1/0-upstream3;Liulin bl.634;00.22.10.e7.52.ae;" 42°42'39.320""N";" 23°14'48.924""E";
217.9.225.230;4325 Up;Cable5/1/0-upstream4;Liulin bl.619;00.23.ee.02.9e.9e;" 42°42'36.642""N";" 23°14'53.690""E";
217.9.225.230;4327 Up;Cable5/1/0-upstream6;Liulin bl.714;;42.714249 N;23.260677 E;
217.9.225.230;4328 Up;Cable5/1/0-upstream7;Liulin bl.724;;42.710536 N;23.260117 E;
217.9.225.230;4369 Up;Cable5/1/2-upstream0;Liulin bl.735;00.23.ed.d8.d2.f6;" 42°42'38.798""N";" 23°15'55.995""E";
217.9.225.230;4370 Up;Cable5/1/2-upstream1;Liulin bl.533;;42.715049 N;23.236988 E;
217.9.225.230;4372 Up;Cable5/1/2-upstream3;Liulin bl.509;00.23.ee.04.18.14; 42°42.973'N; 23°14.424'E;
217.9.225.230;4374 Up;Cable5/1/2-upstream5;Liulin bl.416;;" 42°43'07.253""N";" 23°14'33.006""E";
217.9.225.230;4375 Up;Cable5/1/2-upstream6;Liulin bl.424;00.23.ee.04.52.94;" 42°42'54.426""N";" 23°14'52.227""E";
217.9.225.230;4376 Up;Cable5/1/2-upstream7;Liulin bl.534;;" 42°42'40.007""N";" 23°14'38.659""E";
217.9.225.230;4417 Up;Cable5/1/4-upstream0;Liulin bl.231 I;; 42°43.416'N; 23°15.156'E;
217.9.225.230;4418 Up;Cable5/1/4-upstream1;Liulin bl.231 II;; 42°43.416'N; 23°15.156'E;
217.9.225.230;4419 Up;Cable5/1/4-upstream2;Liulin bl.981 I;;"42°43'17""N";"23°15'58""E";
217.9.225.230;4420 Up;Cable5/1/4-upstream3;Liulin bl.981 II;;"42°43'17""N";"23°15'58""E";
217.9.225.230;5041 Up;Cable6/1/0-upstream0;Liulin bl.119A I;00.23.ed.d8.cf.fc;" 42°43'01.815""N";" 23°16'24.176""E";
217.9.225.230;5042 Up;Cable6/1/0-upstream1;Liulin bl.119A II;00.23.ed.d8.cf.fc;" 42°43'01.815""N";" 23°16'24.176""E";
217.9.225.230;5043 Up;Cable6/1/0-upstream2;Liulin bl.901 I;;"42°43'3""N";"23°15'45""E";
217.9.225.230;5044 Up;Cable6/1/0-upstream3;Liulin bl.901 II;;"42°43'3""N";"23°15'45""E";
217.9.225.230;5045 Up;Cable6/1/0-upstream4;Liulin bl.29 I;00.23.ee.03.f9.fc;42.72608253 N;23.25439811 E;
217.9.225.230;5046 Up;Cable6/1/0-upstream5;Liulin bl.29 II;00.23.ee.03.f9.fc;42.72608253 N;23.25439811 E;
217.9.225.230;5047 Up;Cable6/1/0-upstream6;Liulin 344 I;00.23.ed.d6.0d.dc;" 42°43'17.003""N";" 23°14'44.702""E";
217.9.225.230;5048 Up;Cable6/1/0-upstream7;Liulin 344 II;00.23.ed.d6.0d.dc;" 42°43'17.003""N";" 23°14'44.702""E";
217.9.225.230;5089 Up;Cable6/1/2-upstream0;Liulin 614 I;;" 42°42'42.506""N";" 23°15'01.483""E";
217.9.225.230;5090 Up;Cable6/1/2-upstream1;Liulin 614 II;;" 42°42'42.506""N";" 23°15'01.483""E";
217.9.225.230;5091 Up;Cable6/1/2-upstream2;Liulin bl.627;00.23.ed.d8.5e.44;" 42°42'37.343""N";" 23°15'05.287""E";
217.9.225.230;5092 Up;Cable6/1/2-upstream3;Liulin bl.627;00.23.ed.d8.5e.44;" 42°42'37.343""N";" 23°15'05.287""E";
217.9.225.230;5093 Up;Cable6/1/2-upstream4;Liulin bl.142;;" 42°42'50.003""N";" 23°16'19.507""E";
217.9.225.230;5094 Up;Cable6/1/2-upstream5;Liulin bl.142;;" 42°42'50.003""N";" 23°16'19.507""E";
217.9.225.230;5095 Up;Cable6/1/2-upstream6;Liulin bl.606;;" 42°42'50.128""N";" 23°15'05.431""E";
217.9.225.230;5096 Up;Cable6/1/2-upstream7;Liulin bl.606;;" 42°42'50.128""N";" 23°15'05.431""E";
217.9.225.230;5137 Up;Cable6/1/4-upstream0;Liulin bl.421;00.23.EE.04.AE.14;" 42°43'01.155""N";" 23°14'57.054""E";
217.9.225.230;5138 Up;Cable6/1/4-upstream1;Liulin bl.421;00.23.EE.04.AE.14;" 42°43'01.155""N";" 23°14'57.054""E";
217.9.225.230;5139 Up;Cable6/1/4-upstream2;Moderno predgradie;;42.72412062°N;23.27305564°E;
217.9.225.230;5140 Up;Cable6/1/4-upstream3;Moderno predgradie;;42.72412062°N;23.27305564°E;
217.9.225.230;6121 Up;Cable8/0/0-upstream0;Liulin bl.425;;42.714858 N;23.248519 E;
217.9.225.230;6122 Up;Cable8/0/0-upstream1;Dobrinova Skala;;42.7252 N;23.24434 E;
217.9.225.230;6123 Up;Cable8/0/0-upstream2;Liulin bl.240 I;;42.724358 N;23.253132 E;
217.9.225.230;6125 Up;Cable8/0/0-upstream4;Liulin bl.811;;"42°43'14""N";"23°15'37""E";
217.9.225.230;6128 Up;Cable8/0/0-upstream7;Liulin bl.820;00.23.ee.04.f3.e6;"42°43'19""N";"23°15'29""E";
217.9.225.230;6169 Up;Cable8/0/2-upstream0;Bojurishte 1;;42.761523 N;23.202731 E;
217.9.225.230;6170 Up;Cable8/0/2-upstream1;Bojurishte 2;;42.766838 N;23.197114 E;
217.9.225.230;6171 Up;Cable8/0/2-upstream2;Republika;00.23.ed.d6.6f.1a;"42°44'8""N";"23°14'34""E";
217.9.225.230;6172 Up;Cable8/0/2-upstream3;Voluiak;00.23.ed.d6.6c.20;" 42°46'24.169""N";" 23°14'37.018""E";
217.9.225.230;6173 Up;Cable8/0/2-upstream4;Liulin bl.101;;"42°42'52""N";"23°16'4""E";
