N;модел;mac;точен адрес ;Как се води;нод/захранване/контролна точка;Домакинства;дата на монтаж;забележка;GPS координати;GPS координати
1;;няма ток;ул. Славянска 24;Slavqnska i Shishman;нод;1131;;;" 42°41'54.17""N";" 23°18'12.60""E"
2;;;ул. Раковски 142;Rakovska i Gurko;нод;1009;;;;
3;;няма ток;бул.Сливница 202;Slivnica 212;нод;827;;;;
4;;няма ток;ул. Московска 29;Moskovska i Rakowski;нод;1004;;;;
5;;няма ток;ул. Мария Луиза 112;Maria Luiza 112;нод;620;;;;
6;;няма ток;ж.к.Зона Б19 11-12 вх.Б;Zona B19 bl. 11-12;нод;2014;;;;
7;;няма ток;ул. Цар Симеон 106;Car Simeon i Stefan Stambolov;нод;712;;;;
8;;няма ток;ул. Цар Симеон 132;Simeon i Botev;нод;923;;;;
9;;няма ток;ъгъла на ул. Стамболийски и ул. Одрин;Stamboliiski i Odrin I;нод;1532;;;;
10;;няма ток;ъгъла на ул. Стамболийски и ул. Одрин;Stamboliiski i Odrin II;нод;1278;;;;
11;;;ул. Искър 72;Iskar i Hristo Kovachev I;нод;975;;;;
12;;;ул. Искър 72;Iskar i Hristo Kovachev II;нод;768;;;;
13;;;ул. 11 Август 36;ul.11 awgust;нод;698;;;;
14;;;ул. Княз Борис 150;Pirotska;нод;1097;;;;
15;;;ул. Иван Вазов 22;ul. Ivan Vazov - maze;нод;871;;;;
16;;;ул. Оборище 6;Oborishte i San Stefano;нод;585;;;;
17;;;ъгъла на бул. Инж.Иван Иванов и ул.Пиротска;Zona b18 bl.15;нод;1516;;;;
18;Motorola;00.23.ee.04.ac.2e;ж.к.Зона Б5 бл.14 вх.Е;Zona B5 bl.14;нод;1388;29.09.2012;;"42°41'54.22""С";" 23°18'12.43""И"
19;;няма ток;ул. Аксаков 7;Aksakov;нод;774;;;;
20;;няма ток;ж.к.Зона Б5 бл.15 вх.А;Zona B5 bl.15;нод;1722;;;;
21;;няма ток;ул. А.Стамболийски 57;Toraks I;нод;1121;;;;
